Booking #,Sex,Race,Age,Book Date,,Release Date,Length of Stay,County Code,Release Authority,Offense Code,Offense Description,,
2025-00001,M,W,20,1/1/2025  7:01:00 AM,,1/1/2025  7:45:00 PM,1.00,079,BOND,DWI5416M1,"DWI - UNDER 21 YRS. OF AGE, ILLEGALLY CONSUME ALCOHOL",,
2025-00001,M,W,20,1/1/2025  7:01:00 AM,,1/1/2025  7:45:00 PM,1.00,079,BOND,LIC6809M1,TRAFFIC - LICENSE REVOKED - DRIVING WHILE (FIRST OFFENSE),,
2025-00002,M,B,39,1/1/2025  7:01:00 AM,,3/5/2025  10:35:00 PM,63.65,079,BOND,ASL1319F9,ASSAULT FIREARM USE IN COMMISSION OF FELONY-(FIRST OFFENSE),,
2025-00002,M,B,39,1/1/2025  7:01:00 AM,,3/5/2025  10:35:00 PM,63.65,079,BOND,ASL1334A3,ATTEMPTED WOUNDING,,
2025-00002,M,B,39,1/1/2025  7:01:00 AM,,3/5/2025  10:35:00 PM,63.65,079,BOND,WPN5229F4,WEAPONS DISCHARGE FIREARM - MISSILE IN/AT OCCUPIED BLDG. - MALICIOUSLY,,
2025-00003,F,B,34,1/1/2025  7:16:00 AM,,1/1/2025  12:21:00 PM,1.00,113,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00004,M,W,33,1/1/2025  1:30:00 PM,,2/28/2025  8:00:00 PM,58.27,065,SENTENCE SERVED,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-00004,M,W,33,1/1/2025  1:30:00 PM,,2/28/2025  8:00:00 PM,58.27,065,SENTENCE SERVED,NAR3022F5,NARCOTICS POSSESSION,,
2025-00005,M,B,34,1/1/2025  10:40:00 PM,,1/9/2025  5:23:00 PM,7.78,137,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00005,M,B,34,1/1/2025  10:40:00 PM,,1/9/2025  5:23:00 PM,7.78,137,BOND,ASL1347F6,ASL-STRANGULATION RESULTING IN WOUNDING OR BODILY INJURY,,
2025-00006,M,W,52,1/2/2025  7:47:00 AM,,2/6/2025  3:53:00 PM,35.34,137,SENTENCE SERVED,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00006,M,W,52,1/2/2025  7:47:00 AM,,2/6/2025  3:53:00 PM,35.34,137,SENTENCE SERVED,LAR2366M1,LARCENY LESS THAN $1000 NOT FROM PERSON,,
2025-00006,M,W,52,1/2/2025  7:47:00 AM,,2/6/2025  3:53:00 PM,35.34,137,SENTENCE SERVED,VAN2922M1,"VANDALISM, DAMAGE PROPERTY INTENTIONALLY - DAMAGE/DESTROY ANY PROPERTY OR MONUMENT - <$1000",,
2025-00007,M,B,43,1/2/2025  11:23:00 AM,,1/3/2025  12:10:00 AM,1.00,113,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00008,M,W,63,1/2/2025  1:09:00 PM,,7/3/2025  8:00:00 AM,181.79,113,SENTENCE SERVED,LAR2708M1,LARCENY EMBEZZLEMENT - LESS THAN $1000,,
2025-00009,M,W,32,1/2/2025  1:49:00 PM,,1/7/2025  4:16:00 PM,5.10,065,BOND,REC6625M1,TRAFFIC - RECKLESS DRIVING ENDANGER LIFE OR LIMB,,
2025-00009,M,W,32,1/2/2025  1:49:00 PM,,1/7/2025  4:16:00 PM,5.10,065,BOND,VAN2922M1,"VANDALISM, DAMAGE PROPERTY INTENTIONALLY - DAMAGE/DESTROY ANY PROPERTY OR MONUMENT - <$1000",,
2025-00011,M,W,54,1/2/2025  3:33:00 PM,,4/18/2025  8:00:00 AM,105.69,065,SENTENCE SERVED,BND9975S9,BND - VIOLATIONS OF CONDITIONS OF RELEASE,,
2025-00011,M,W,54,1/2/2025  3:33:00 PM,,4/18/2025  8:00:00 AM,105.69,065,SENTENCE SERVED,PRT2114M1,PRT-VIOLATION OF A PROTECTIVE ORDER (GENERAL),,
2025-00011,M,W,54,1/2/2025  3:33:00 PM,,4/18/2025  8:00:00 AM,105.69,065,SENTENCE SERVED,PRT5066M1,VIOLATION OF PROTECTIVE (VIOLENCE) 2ND W/IN 5 YRS,,
2025-00011,M,W,54,1/2/2025  3:33:00 PM,,4/18/2025  8:00:00 AM,105.69,065,SENTENCE SERVED,SSV4844S9,"PAROLE, PROBATION, SUPERVISION VIOLATION SUSPENDED SENTENCE VIOLATION",,
2025-00012,M,B,38,1/2/2025  3:50:00 PM,,7/22/2025  8:00:00 AM,200.67,065,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00013,M,B,54,1/2/2025  7:13:00 PM,,1/14/2025  3:37:00 PM,11.85,109,BOND,ASL1313M1,ASSAULT SIMPLE ASSAULT,,
2025-00014,F,W,39,1/3/2025  9:00:00 AM,,1/7/2025  9:00:00 AM,4.00,137,SENTENCE SERVED,ASP4845S9,"PAROLE, PROBATION, SUPERVISION VIOLATION ALCOHOL SAFETY PROGRAM VIOLATION",,
2025-00015,M,W,36,1/3/2025  9:00:00 AM,,1/7/2025  9:00:00 AM,4.00,109,SENTENCE SERVED,ASP4845S9,"PAROLE, PROBATION, SUPERVISION VIOLATION ALCOHOL SAFETY PROGRAM VIOLATION",,
2025-00016,F,W,25,1/3/2025  9:55:00 AM,,4/30/2025  10:20:00 AM,117.02,047,JUDGE,CBC4852M9,CBC - COMMUNITY-BASED PROBATION - MISDEMEANOR,,
2025-00016,F,W,25,1/3/2025  9:55:00 AM,,4/30/2025  10:20:00 AM,117.02,047,JUDGE,JUS4811M1,JUS-FALSE STATEMENT DURING INVESTIGATION OF ANOTHER'S CRIME,,
2025-00017,M,B,33,1/3/2025  12:27:00 PM,,1/13/2025  12:56:00 PM,10.02,881,RELEASE TO FEDERAL,PRI9905S9,PRISONERS FEDERAL - FELONY,,
2025-00018,M,W,58,1/3/2025  1:30:00 PM,,1/7/2025  10:29:00 AM,3.87,137,JUDGE,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00018,M,W,58,1/3/2025  1:30:00 PM,,1/7/2025  10:29:00 AM,3.87,137,JUDGE,KID1010F5,KIDNAPPING ABDUCT BY FORCE WITHOUT JUSTIFICATION,,
2025-00018,M,W,58,1/3/2025  1:30:00 PM,,1/7/2025  10:29:00 AM,3.87,137,JUDGE,LAR2383F9,LARCENY FIREARMS - REGARDLESS OF VALUE - NOT FROM PERSON,,
2025-00018,M,W,58,1/3/2025  1:30:00 PM,,1/7/2025  10:29:00 AM,3.87,137,JUDGE,PRT5003F6,PRT - ENTER HOME OF PERSON WITH PROTECTIVE ORDER,,
2025-00018,M,W,58,1/3/2025  1:30:00 PM,,1/7/2025  10:29:00 AM,3.87,137,JUDGE,PRT5004F6,PRT - ASSUALT W/SERIOUS INJURY TO PERSON W/PROTECTIVE ORDER,,
2025-00018,M,W,58,1/3/2025  1:30:00 PM,,1/7/2025  10:29:00 AM,3.87,137,JUDGE,PRT5073F6,"ARMED WITH DEADLY WEAPON, VIOLATION OF PROTECTIVE ORDER WHILE",,
2025-00018,M,W,58,1/3/2025  1:30:00 PM,,1/7/2025  10:29:00 AM,3.87,137,JUDGE,VAN3192M1,"VAN-DAMAGE PHONE LINE,ETC.TO PREVENT SUMMONNING POLICE",,
2025-00018,M,W,58,1/3/2025  1:30:00 PM,,1/7/2025  10:29:00 AM,3.87,137,JUDGE,WPN5214M1,WEAPONS PURCHASE/TRANSPORT FIREARM BY PER. SUBJ. TO PROTECTIVE ORDER,,
2025-00018,M,W,58,1/3/2025  1:30:00 PM,,1/7/2025  10:29:00 AM,3.87,137,JUDGE,WPN5251M1,WEAPONS BRANDISH OR POINT FIREARM,,
2025-00019,M,W,39,1/3/2025  1:35:00 PM,,1/3/2025  3:49:00 PM,1.00,137,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00020,M,B,36,1/3/2025  2:20:00 PM,,1/13/2025  2:37:00 PM,10.01,137,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00020,M,B,36,1/3/2025  2:20:00 PM,,1/13/2025  2:37:00 PM,10.01,137,JUDGE,PRB4851M9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - MISDEMEANOR",,
2024-03470,M,W,45,1/3/2025  6:00:00 PM,,1/5/2025  6:00:00 PM,2.00,109,JUDGE,RAP1122M1,SEXUAL ASSAULT BATTERY - SEXUAL,,
2024-03519,M,B,27,1/3/2025  6:00:00 PM,,1/5/2025  6:00:00 PM,2.00,109,JUDGE,DWI5448S9,TRAFFIC-DRIVING WHILE INTOXICATED-2ND WITHIN LESS THAN 5YRS.,,
2024-03521,M,W,33,1/3/2025  6:00:00 PM,,1/5/2025  6:00:00 PM,2.00,113,SENTENCE SERVED,DWI5448S9,TRAFFIC-DRIVING WHILE INTOXICATED-2ND WITHIN LESS THAN 5YRS.,,
2025-00021,F,W,35,1/3/2025  7:00:00 PM,,1/4/2025  7:00:00 PM,1.00,113,SENTENCE SERVED,REC6648M1,TRAFFIC - RECKLESS DRIVING SPEED OVER 80 MPH,,
2025-00023,M,W,44,1/3/2025  7:00:00 PM,,1/5/2025  7:00:00 PM,2.00,113,SENTENCE SERVED,LIC6808M2,TRAFFIC - OPERATOR'S LICENSE DRIVE WITHOUT A LICENSE,,
2025-00024,M,W,39,1/3/2025  9:28:00 PM,,1/11/2025  6:11:00 AM,7.36,137,JUDGE,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00024,M,W,39,1/3/2025  9:28:00 PM,,1/11/2025  6:11:00 AM,7.36,137,JUDGE,PRT5007M1,PROTECTIVE ORDERS VIOLATION OF A PROTECTIVE ORDER,,
2025-00025,M,W,33,1/3/2025  10:02:00 PM,,1/4/2025  8:30:00 AM,1.00,137,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-00026,M,B,27,1/3/2025  11:29:00 PM,,1/9/2025  9:24:00 AM,5.41,540,JUDGE,FTA5019F6,FAILURE TO APPEAR FAIL TO APPEAR IN COURT FOR FELONY OFFENSE,,
2025-00028,M,B,23,1/4/2025  2:04:00 AM,,1/4/2025  8:05:00 PM,1.00,137,BOND,ASL1342F6,ASSAULT SIMPLE ASSAULT ON LAW ENFORCEMENT - DOC - FIRE/RESCUE PERSONNEL,,
2025-00028,M,B,23,1/4/2025  2:04:00 AM,,1/4/2025  8:05:00 PM,1.00,137,BOND,BRI5118F4,BRIBERY PUBLIC OFFICIAL - POLICE - CANDIDATE FOR OFFICE-GIVING,,
2025-00028,M,B,23,1/4/2025  2:04:00 AM,,1/4/2025  8:05:00 PM,1.00,137,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00028,M,B,23,1/4/2025  2:04:00 AM,,1/4/2025  8:05:00 PM,1.00,137,BOND,JUS4828M1,"JUS-RESISTING ARREST,OBSTRUCTING JUSTICE BY THREATS/FORCE",,
2025-00028,M,B,23,1/4/2025  2:04:00 AM,,1/4/2025  8:05:00 PM,1.00,137,BOND,PHA3170M1,"POSSESSION OF NEEDLES, CAPSULES, PIPE, ETC.",,
2025-00028,M,B,23,1/4/2025  2:04:00 AM,,1/4/2025  8:05:00 PM,1.00,137,BOND,VAN2956F6,"VANDALISM, DAMAGE PROPERTY INTENTIONALLY - DAMAGE/DESTROY ANY PROPERTY OR MONUMENT >=$1000",,
2025-00027,F,W,39,1/4/2025  2:14:00 AM,,1/4/2025  11:28:00 AM,1.00,033,JUDGE,FRD2743F9,FRAUD FALSE PRETENSES - OBTAIN MONEY BY - >=$1000,,
2025-00027,F,W,39,1/4/2025  2:14:00 AM,,1/4/2025  11:28:00 AM,1.00,033,JUDGE,LAR2707F9,LARCENY EMBEZZLEMENT - $1000 OR MORE,,
